;;DESTINATION;;;;;;;;;;;;;;;;;;;;;;;
15:30;Amstel;3;2;0;4;1;1;2;3;1;1;0;4;4;3;0;5;3;1;5;3;1;1;2;5
15:45;Amstel;1;3;1;6;2;0;2;2;1;1;2;1;3;1;3;1;6;0;5;3;0;1;1;5
16:00;Amstel;8;5;2;13;12;5;2;7;3;2;15;0;10;13;2;4;1;2;3;3;2;0;4;10
16:15;Amstel;5;4;0;18;14;5;3;16;4;3;9;0;13;7;11;8;12;1;0;16;3;0;1;3
16:30;Amstel;11;9;3;8;12;6;1;11;6;2;7;6;11;17;12;4;9;2;11;2;1;1;2;13
16:45;Amstel;1;5;2;12;10;5;5;2;2;3;6;6;15;2;5;5;15;1;2;16;4;1;3;11
17:00;Amstel;12;6;2;15;12;8;3;10;1;3;4;1;17;20;7;15;17;1;10;4;1;4;2;4
17:15;Amstel;10;3;2;4;18;12;10;19;4;3;2;9;12;5;14;0;3;3;4;13;5;5;4;10
17:30;Amstel;3;0;1;4;16;11;4;19;2;2;10;1;0;16;10;7;2;1;17;5;2;5;5;16
17:45;Amstel;3;0;3;5;20;2;3;13;3;2;13;12;2;10;3;15;19;2;0;15;7;3;3;4
18:00;Amstel;4;1;1;3;2;2;10;15;7;3;9;9;6;18;2;14;5;1;12;9;5;6;1;4
18:15;Amstel;12;6;4;15;15;10;0;5;6;2;8;14;18;11;7;1;11;3;19;4;4;4;8;3
18:30;Amstel;2;7;0;7;15;3;3;12;1;0;3;3;11;7;6;0;10;1;11;3;3;5;3;3
18:45;Amstel;2;3;0;2;2;6;1;6;3;2;8;5;10;7;1;8;7;2;9;4;2;3;4;5
19:00;Amstel;0;3;1;0;4;5;2;4;3;1;8;4;2;5;1;0;2;0;5;5;0;2;0;7
19:15;Amstel;4;3;0;3;0;1;3;1;1;0;5;2;3;4;3;4;1;1;4;6;2;1;1;0
19:30;Amstel;1;1;0;5;5;4;1;1;1;1;2;2;4;5;2;4;6;0;1;0;2;0;2;3
19:45;Amstel;3;2;1;3;1;4;2;3;0;1;4;4;3;2;2;0;4;0;6;4;0;2;1;3
20:00;Amstel;3;0;0;6;1;1;3;1;1;1;5;3;4;1;4;1;3;1;4;5;2;0;2;1
20:15;Amstel;1;2;0;4;6;1;2;1;0;0;4;3;5;2;2;0;5;1;2;6;0;1;0;2
20:30;Amstel;0;2;0;5;5;1;1;4;0;1;4;3;3;4;0;0;1;1;3;1;0;1;0;2
20:45;Amstel;1;2;0;5;0;2;2;1;1;0;3;2;3;2;1;2;1;0;1;0;1;1;1;1
21:00;Amstel;0;2;0;4;1;2;2;3;0;0;3;0;2;4;0;3;5;0;2;2;1;1;1;2
21:15;Amstel;2;1;0;1;4;1;2;4;2;1;1;1;3;3;4;3;3;0;0;3;1;1;1;4
21:30;Amstel;0;2;0;5;2;1;2;1;1;0;2;1;1;1;1;4;1;0;4;2;1;1;0;2
21:45;Amstel;2;2;1;2;3;1;0;1;0;0;1;1;1;3;0;2;1;1;2;1;1;1;1;5
22:00;Amstel;3;3;1;7;4;3;1;2;1;0;1;3;1;4;5;1;1;1;2;2;0;0;1;6
22:15;Amstel;3;0;1;1;2;1;3;6;0;1;5;1;1;0;0;3;4;1;1;1;0;0;1;3
22:30;Amstel;2;0;1;0;0;1;1;0;1;1;5;2;3;1;0;3;5;0;5;1;1;2;1;5
22:45;Amstel;3;2;1;3;3;1;0;4;2;1;3;3;4;1;2;1;1;1;2;1;1;1;1;3
23:00;Amstel;1;2;1;3;1;0;1;1;0;0;2;1;0;1;2;1;3;0;3;3;0;1;0;1
23:15;Amstel;1;2;0;1;1;2;2;3;1;0;4;0;1;3;2;0;3;0;1;3;1;1;0;1
23:30;Amstel;0;1;0;3;2;0;0;1;0;0;3;2;1;1;0;3;1;1;0;1;0;1;0;2
23:45;Amstel;2;1;0;2;1;1;1;1;0;0;2;2;1;3;1;2;2;0;3;3;0;1;0;1
0:00;Amstelveenseweg;1;0;0;0;1;0;1;1;0;0;2;1;0;2;1;1;0;0;1;1;0;0;0;2
0:15;Amstelveenseweg;1;1;0;1;1;1;1;0;0;0;1;0;1;0;1;0;2;0;0;0;1;0;0;1
0:30;Amstelveenseweg;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1
0:45;Amstelveenseweg;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;1
1:00;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1:15;Amstelveenseweg;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;1
1:30;Amstelveenseweg;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
1:45;Amstelveenseweg;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
2:00;Amstelveenseweg;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
2:15;Amstelveenseweg;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0
2:30;Amstelveenseweg;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0
2:45;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
3:00;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
3:15;Amstelveenseweg;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0
3:30;Amstelveenseweg;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1
3:45;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
4:00;Amstelveenseweg;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
4:15;Amstelveenseweg;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
4:30;Amstelveenseweg;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;0;0;1;1;0;0;0;0
4:45;Amstelveenseweg;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0
5:00;Amstelveenseweg;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
5:15;Amstelveenseweg;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
5:30;Amstelveenseweg;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0
5:45;Amstelveenseweg;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
6:00;Amstelveenseweg;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
6:15;Amstelveenseweg;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
6:30;Amstelveenseweg;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0
6:45;Amstelveenseweg;1;0;0;1;1;1;1;1;0;0;2;0;1;1;1;0;0;0;1;1;0;0;0;1
7:00;Amstelveenseweg;1;0;0;3;1;2;1;1;0;0;3;1;2;0;2;2;2;0;0;2;0;1;1;2
7:15;Amstelveenseweg;1;1;1;3;4;1;1;6;1;1;5;1;1;0;0;2;4;1;1;2;2;1;0;1
7:30;Amstelveenseweg;1;4;0;1;8;2;2;11;5;2;12;4;3;8;10;7;1;0;12;11;4;0;0;13
7:45;Amstelveenseweg;8;4;3;28;2;1;2;5;7;0;6;4;7;17;20;5;7;1;7;7;4;7;1;16
8:00;Amstelveenseweg;5;6;0;20;17;0;10;19;7;0;1;4;10;9;19;11;21;3;8;4;7;7;7;7
8:15;Amstelveenseweg;3;9;3;21;11;13;1;0;7;3;4;9;14;2;10;5;5;3;13;6;2;4;4;19
8:30;Amstelveenseweg;1;5;1;28;11;11;10;10;2;0;3;8;15;11;6;16;0;2;3;0;3;2;2;8
8:45;Amstelveenseweg;13;11;2;24;1;4;2;4;5;1;9;10;15;7;11;4;8;1;10;20;2;1;3;19
9:00;Amstelveenseweg;1;6;3;13;6;15;10;4;1;3;8;8;15;4;1;16;7;1;3;23;8;1;4;12
9:15;Amstelveenseweg;3;4;1;14;10;2;1;14;4;1;2;8;9;0;11;9;5;1;10;10;0;4;0;13
9:30;Amstelveenseweg;5;1;1;8;5;4;3;10;1;1;3;2;1;7;4;3;1;1;10;6;1;4;1;6
9:45;Amstelveenseweg;5;1;0;3;8;6;2;4;1;0;7;2;4;8;1;0;8;1;1;0;1;3;3;4
10:00;Amstelveenseweg;2;1;1;4;4;1;2;2;0;0;3;3;1;4;1;2;4;0;3;3;2;2;2;6
10:15;Amstelveenseweg;2;1;0;0;1;1;0;3;1;1;5;3;3;2;4;2;4;0;5;3;2;1;0;6
10:30;Amstelveenseweg;3;2;1;4;5;1;0;3;2;0;0;2;4;2;4;1;0;0;1;1;1;2;1;2
10:45;Amstelveenseweg;4;1;0;7;4;0;1;4;2;1;2;2;5;4;4;3;1;0;4;6;1;2;1;1
11:00;Amstelveenseweg;3;1;0;0;1;1;1;4;0;0;5;1;5;3;2;2;5;0;2;5;0;0;1;0
11:15;Amstelveenseweg;0;1;1;6;4;1;1;6;2;0;3;2;5;3;5;3;2;1;5;5;1;1;1;2
11:30;Amstelveenseweg;3;1;0;4;0;4;3;6;0;1;1;3;4;4;1;3;3;0;1;5;1;0;1;6
11:45;Amstelveenseweg;1;0;1;5;5;3;2;4;2;1;4;1;0;5;0;5;2;0;0;6;2;1;1;1
12:00;Amstelveenseweg;4;1;1;4;5;1;1;7;2;0;3;1;3;6;2;4;1;0;2;3;0;0;1;2
12:15;Amstelveenseweg;0;1;0;12;0;4;0;1;2;1;6;1;7;3;4;1;1;0;5;1;2;0;3;0
12:30;Amstelveenseweg;3;4;1;4;8;2;2;4;3;0;7;5;5;7;2;1;3;1;1;7;2;2;1;9
12:45;Amstelveenseweg;0;3;1;0;6;2;1;4;2;1;1;3;6;7;7;1;2;1;0;8;3;1;0;2
13:00;Amstelveenseweg;5;4;1;1;3;4;1;3;2;1;3;3;7;4;5;1;5;1;4;5;0;0;2;5
13:15;Amstelveenseweg;1;1;0;6;6;0;3;2;2;1;6;5;4;3;3;3;2;1;4;5;0;1;0;6
13:30;Amstelveenseweg;4;0;0;2;3;4;2;1;2;0;0;2;0;3;0;3;5;0;2;5;1;1;1;2
13:45;Amstelveenseweg;2;2;1;1;1;1;3;1;1;0;2;0;3;6;1;4;3;1;4;4;2;0;1;5
14:00;Amstelveenseweg;3;1;1;6;2;3;1;3;1;1;0;3;4;3;2;2;5;0;6;1;1;0;1;3
14:15;Amstelveenseweg;3;3;1;2;1;3;1;0;1;0;5;2;3;2;0;0;6;0;4;4;1;1;1;5
14:30;Amstelveenseweg;1;1;0;5;2;3;2;5;0;0;5;1;2;1;4;2;1;0;4;6;1;1;0;3
14:45;Amstelveenseweg;0;2;1;0;5;0;2;6;1;0;4;2;0;2;5;1;5;0;2;1;1;1;1;4
15:00;Amstelveenseweg;4;0;0;4;1;0;0;1;0;0;5;3;1;5;4;3;1;0;5;0;0;2;1;1
15:15;Amstelveenseweg;1;3;0;6;3;4;1;1;1;1;6;2;2;1;3;0;3;1;2;6;1;1;0;1
15:30;Amstelveenseweg;3;3;0;7;2;4;2;1;1;0;0;3;3;0;3;2;3;0;6;0;1;0;1;0
15:45;Amstelveenseweg;4;0;0;7;0;3;1;0;1;1;1;2;3;1;2;5;5;0;1;3;1;2;0;6
16:00;Amstelveenseweg;3;5;1;10;11;3;4;14;5;0;10;6;0;8;6;7;11;2;10;5;3;3;0;7
16:15;Amstelveenseweg;1;5;0;4;9;9;0;4;3;1;3;1;13;11;11;8;0;1;14;1;3;5;0;8
16:30;Amstelveenseweg;5;7;1;23;11;12;7;1;3;1;0;3;2;1;7;7;12;1;13;10;4;2;4;4
16:45;Amstelveenseweg;11;0;0;20;17;7;5;13;4;2;12;0;12;2;6;10;13;2;14;12;2;4;5;8
17:00;Amstelveenseweg;6;4;3;16;2;6;7;1;4;2;17;5;6;15;2;8;6;1;8;18;0;2;6;9
17:15;Amstelveenseweg;6;4;0;7;21;4;6;21;0;3;12;13;6;9;7;7;20;1;18;14;1;2;3;19
17:30;Amstelveenseweg;11;3;3;13;4;9;10;18;5;3;18;4;4;8;4;17;2;3;6;16;2;7;7;15
17:45;Amstelveenseweg;8;3;1;12;0;7;6;4;7;2;5;4;3;6;10;16;10;3;12;4;4;4;1;6
18:00;Amstelveenseweg;6;6;4;26;4;0;7;20;3;3;5;4;4;18;14;14;12;2;14;18;2;2;2;5
18:15;Amstelveenseweg;6;9;3;0;10;1;12;13;3;3;20;13;16;22;13;18;20;3;11;17;3;2;1;10
18:30;Amstelveenseweg;9;2;1;12;3;3;3;1;0;2;2;6;3;11;6;0;14;1;13;4;5;2;5;3
18:45;Amstelveenseweg;5;6;1;11;5;7;5;11;2;2;8;7;10;10;9;7;0;2;7;4;1;1;2;4
19:00;Amstelveenseweg;0;1;1;7;5;5;0;5;1;0;3;3;3;3;3;5;7;0;8;3;2;2;1;6
19:15;Amstelveenseweg;3;2;0;6;1;2;3;4;1;1;4;4;0;1;5;4;5;0;1;5;1;1;1;1
19:30;Amstelveenseweg;2;1;0;3;1;1;3;6;2;1;3;1;3;5;3;1;5;0;4;1;1;0;1;3
19:45;Amstelveenseweg;4;1;1;8;3;1;2;3;1;1;6;0;2;4;1;3;3;0;4;3;1;2;1;1
20:00;Amstelveenseweg;2;2;1;5;1;1;1;1;1;1;0;3;4;0;2;0;2;1;5;5;1;1;1;5
20:15;Amstelveenseweg;0;1;0;3;2;1;2;1;1;0;0;3;2;5;3;3;5;0;5;5;0;1;1;1
20:30;Amstelveenseweg;2;0;0;3;5;1;1;3;1;0;4;3;1;1;1;1;1;0;2;2;1;1;0;2
20:45;Amstelveenseweg;0;0;0;4;4;2;1;4;2;0;2;1;2;2;3;2;4;1;1;3;1;1;1;2
21:00;Amstelveenseweg;3;0;0;5;5;3;2;4;1;1;3;2;1;1;3;2;1;0;3;3;1;1;1;3
21:15;Amstelveenseweg;1;1;1;0;5;2;1;1;2;0;3;0;2;4;2;3;1;0;3;1;0;0;1;3
21:30;Amstelveenseweg;2;0;0;1;2;0;1;1;1;0;4;1;4;3;4;3;4;1;3;3;1;1;1;1
21:45;Amstelveenseweg;0;2;0;4;1;3;1;5;1;1;4;1;3;2;3;3;6;0;3;1;1;1;0;3
22:00;Amstelveenseweg;2;0;1;2;2;2;1;4;2;1;4;1;3;1;3;0;5;0;2;2;1;1;0;4
22:15;Amstelveenseweg;1;3;0;4;0;1;2;2;0;0;2;0;4;6;4;2;6;0;1;2;1;0;0;1
22:30;Amstelveenseweg;1;2;0;6;1;3;0;1;1;0;3;2;0;2;4;1;3;0;4;3;2;2;0;4
22:45;Amstelveenseweg;2;0;0;1;3;2;1;2;1;0;4;0;1;2;1;3;1;0;1;4;1;0;0;2
23:00;Amstelveenseweg;2;1;0;5;3;1;0;2;1;0;0;2;1;2;3;3;3;0;2;2;0;1;0;2
23:15;Amstelveenseweg;2;0;1;0;2;1;2;2;1;0;2;1;1;1;2;2;2;0;0;2;1;0;0;1
23:30;Amstelveenseweg;1;1;0;3;2;1;1;2;1;0;1;1;1;2;1;2;1;0;2;0;1;1;0;0
23:45;Amstelveenseweg;1;0;0;2;1;2;1;1;1;0;0;0;1;1;2;1;2;0;2;2;0;1;1;0
0:00;Buikslotermeer;0;0;0;1;1;1;0;1;1;0;1;0;0;1;0;1;1;0;2;0;0;0;0;1
0:15;Buikslotermeer;1;1;0;1;1;0;1;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0;1
0:30;Buikslotermeer;0;0;0;1;1;0;0;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0;0;1
0:45;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;1;1;0;0;0;0
1:00;Buikslotermeer;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
1:15;Buikslotermeer;0;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0
1:30;Buikslotermeer;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0
1:45;Buikslotermeer;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1
2:00;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
2:15;Buikslotermeer;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
2:30;Buikslotermeer;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0
2:45;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
3:00;Buikslotermeer;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1
3:15;Buikslotermeer;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
3:30;Buikslotermeer;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
3:45;Buikslotermeer;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0
4:00;Buikslotermeer;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
4:15;Buikslotermeer;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
4:30;Buikslotermeer;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4:45;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
5:00;Buikslotermeer;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0
5:15;Buikslotermeer;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
5:30;Buikslotermeer;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0
5:45;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6:00;Buikslotermeer;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1
6:15;Buikslotermeer;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0
6:30;Buikslotermeer;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
6:45;Buikslotermeer;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;1;0;1;1;0;0;0;1
7:00;Buikslotermeer;2;0;1;3;2;1;1;1;1;0;2;1;1;0;1;0;2;0;3;1;0;1;0;2
7:15;Buikslotermeer;1;3;1;5;3;2;1;4;2;0;2;4;1;1;1;1;2;1;2;5;2;1;0;2
7:30;Buikslotermeer;6;6;1;11;1;8;7;10;1;0;2;4;7;3;5;10;6;1;10;5;2;3;1;11
7:45;Buikslotermeer;4;4;0;19;8;4;1;21;1;1;12;5;9;1;6;1;2;0;3;4;3;3;6;10
8:00;Buikslotermeer;11;11;0;21;10;2;8;9;7;1;21;1;4;2;8;8;2;1;22;17;6;4;6;17
8:15;Buikslotermeer;13;7;3;7;15;13;5;9;6;2;3;4;0;10;2;7;5;0;18;4;2;4;1;14
8:30;Buikslotermeer;5;1;0;3;2;4;4;9;3;2;16;5;17;2;15;15;1;3;18;8;1;5;1;10
8:45;Buikslotermeer;6;3;2;27;17;9;8;5;3;3;7;0;15;10;14;3;11;2;14;7;0;2;4;9
9:00;Buikslotermeer;2;5;2;18;5;8;5;17;1;4;23;5;17;0;9;0;11;2;9;23;7;4;4;16
9:15;Buikslotermeer;2;2;1;18;1;6;2;9;4;1;4;0;8;5;11;8;10;2;12;6;4;1;0;2
